date,distance,duration,tss
2026-02-01,2.15,21,23
2026-02-02,0.0,0,0
2026-02-03,2.47,20,40
2026-02-04,0.0,0,0
2026-02-05,1.55,31,40
2026-02-05,2.64,31,47
2026-02-06,0.0,0,0
2026-02-07,3.84,30,52
2026-02-08,0.0,0,0
2026-02-09,0.0,0,0
2026-02-10,3.01,21,61
2026-02-11,0.0,0,0
2026-02-12,0.0,0,0
2026-02-13,3.01,21,61
2026-02-14,0.0,0,0
2026-02-15,4.17,30,70
2026-02-16,0.0,0,0
2026-02-17,3.57,25,71
2026-02-18,0.0,0,0
2026-02-19,0.0,0,0
2026-02-20,3.63,25,79
2026-02-21,0.0,0,0
2026-02-22,4.29,30,82
2026-02-23,0.0,0,0
2026-02-24,3.61,25,73
2026-02-25,0.0,0,0
2026-02-26,0.0,0,0
2026-02-27,3.62,25,79
2026-02-28,0.0,0,0
2026-03-01,5.06,35,100
2026-03-02,0.0,0,0
2026-03-03,3.61,25,75
2026-03-04,0.0,0,0
2026-03-05,0.99,7,23
2026-03-06,0.0,0,0
2026-03-07,0.0,0,0
2026-03-08,5.01,35,86
2026-03-09,0.0,0,0
2026-03-10,4.38,30,89
2026-03-11,0.0,0,0
2026-03-12,0.0,0,0
2026-03-13,4.31,30,80
2026-03-14,0.0,0,0
2026-03-15,5.01,35,80
2026-03-16,0.0,0,0
2026-03-17,5.01,35,84
2026-03-18,0.0,0,0
2026-03-19,2.11,15,39
2026-03-20,0.0,0,0
2026-03-21,1.58,15,14
2026-03-21,4.87,32,105
2026-03-22,0.0,0,0
2026-03-23,0.0,0,0
2026-03-24,3.66,25,72
2026-03-25,0.0,0,0
2026-03-26,0.0,0,0
2026-03-27,4.42,30,102
2026-03-28,0.0,0,0
2026-03-29,5.07,35,107
2026-03-30,0.0,0,0
2026-03-31,5.07,35,109
2026-04-01,0.0,0,0
2026-04-02,0.0,0,0
2026-04-03,0.0,0,0
2026-04-04,0.0,0,0
2026-04-05,5.41,40,76
2026-04-06,0.0,0,0
2026-04-07,5.13,35,121
2026-04-08,0.0,0,0
2026-04-09,5.01,35,100
2026-04-10,0.0,0,0
2026-04-11,0.0,0,0
2026-04-12,6.0,42,128
2026-04-13,0.0,0,0
2026-04-14,5.16,35,124
2026-04-15,0.0,0,0
2026-04-16,3.01,21,81
2026-04-17,0.0,0,0
2026-04-18,0.0,0,0
2026-04-19,7.16,48,177
2026-04-20,0.0,0,0
2026-04-21,3.41,25,55
2026-04-22,0.0,0,0
2026-04-23,0.0,0,0
2026-04-24,5.32,35,147
2026-04-25,0.0,0,0
2026-04-26,6.01,42,127
2026-04-27,0.0,0,0
2026-04-28,5.32,40,65
2026-04-28,0.7,7,46
2026-04-29,0.0,0,0
2026-04-30,0.0,0,0
2026-05-01,5.47,40,84
2026-05-01,0.62,4,40
2026-05-02,0.0,0,0
2026-05-03,6.51,45,127
2026-05-04,0.0,0,0
2026-05-05,3.56,25,79
2026-05-06,0.0,0,0
2026-05-07,3.62,25,82
2026-05-08,0.0,0,0
2026-05-09,0.0,0,0
2026-05-10,1.08,11,10
2026-05-10,10.09,71,192
