date,vo2max
2026-02-02,42.4
2026-02-03,42.4
2026-02-05,41.7
2026-02-07,41.2
2026-02-10,41.0
2026-02-13,40.8
2026-02-15,40.7
2026-02-17,40.8
2026-02-20,40.9
2026-02-22,41.0
2026-02-24,41.3
2026-02-27,41.3
2026-03-01,41.4
2026-03-03,41.6
2026-03-08,41.4
2026-03-10,41.6
2026-03-13,41.6
2026-03-15,41.7
2026-03-17,41.7
2026-03-19,42.0
2026-03-21,42.1
2026-03-24,42.3
2026-03-27,42.0
2026-03-29,41.6
2026-03-31,41.6
2026-04-05,41.3
2026-04-07,41.2
2026-04-09,41.1
2026-04-12,40.9
2026-04-14,40.9
2026-04-16,40.8
2026-04-19,40.8
2026-04-21,40.8
2026-04-24,40.7
2026-04-26,40.7
2026-04-28,40.6
2026-05-01,40.6
2026-05-03,40.8
2026-05-05,41.0
2026-05-07,41.1
2026-05-10,41.2
